,description
0,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 131325, 'max_yearly_salary': 154500, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL', 'data modeling', 'Python', 'data visualization', 'communication', 'collaboration', 'analytical solutions']}"
1,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 99900, 'max_yearly_salary': 133900, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'data communication', 'data platforms', 'data visualization', 'project management', 'analytical']}"
2,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'underwriting', 'stop-loss', 'Excel', 'SQL', 'Tableau', 'problem-solving', 'organizational skills']}"
3,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'data manipulation', 'data visualization', 'statistical analysis', 'modeling', 'data warehousing', 'ETL', 'A/B testing']}"
4,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 61300, 'max_yearly_salary': 116500, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['SQL', 'Python', 'data modeling', 'visualization tools', 'business intelligence', 'digital analytics', 'project management']}"
5,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 93400, 'max_yearly_salary': 131300, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['SQL', 'SparkSQL', 'ETL', 'Project management', 'Python', 'R', 'Data visualization', 'Tableau', 'Looker']}"
6,"{'min_years_of_experience': 3, 'min_hourly_salary': 38, 'max_hourly_salary': 64, 'min_yearly_salary': 81120, 'max_yearly_salary': 133260, 'required_degree': None, 'remote_work': True, 'required_skills': ['SQL', 'Python', 'R', 'data visualization', 'Statistical Testing', 'A/B testing', 'data analysis', 'big data', 'data pipelines', 'data integration']}"
7,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data analysis', 'data management', 'data mining', 'business requirements', 'report presentation', 'relational databases', 'SQL', 'business solutions', 'process improvement', 'data governance', 'Data Management lifecycle', 'master data', 'project management methodologies', 'Scrum', 'Kanban', 'Waterfall', 'SAFe', 'project management tools', 'statistical analysis', 'SAS', 'SPSS', 'R']}"
8,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'business analytics', 'cloud data platforms', 'SQL', 'Python', 'R', 'data visualization', 'statistical techniques', 'communication', 'problem-solving', 'project management']}"
9,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['quantitative field', 'software development', 'analytical skills', 'problem-solving', 'data analysis', 'Python', 'SQL', 'R', 'communication skills', 'work ethic', 'Cloud technologies', 'relational database', 'team player']}"
10,"{'min_years_of_experience': 2, 'min_hourly_salary': 43, 'max_hourly_salary': 58, 'min_yearly_salary': 90000, 'max_yearly_salary': 120000, 'required_degree': 'BS', 'remote_work': None, 'required_skills': ['SQL', 'Python', 'teamwork', 'data analysis', 'dashboards']}"
11,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Data Visualization', 'Python', 'R', 'SQL', 'JavaScript', 'Google Analytics', 'Adobe Analytics', 'A/B Testing']}"
12,"{'min_years_of_experience': 4, 'min_hourly_salary': 83, 'max_hourly_salary': 93, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['SQL', 'Tableau', 'Power BI', 'data extraction', 'analytical skills', 'time management', 'project management', 'communication']}"
13,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'Python', 'R', 'statistical analysis', 'data visualisation', 'security concepts', 'communication']}"
14,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'statistical coding', 'machine learning', 'ETL processes', 'communication', 'organizational behavior']}"
15,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 90000, 'max_yearly_salary': 140000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'data manipulation', 'data visualization', 'statistical analysis', 'A/B testing']}"
16,"{'min_years_of_experience': 2, 'min_hourly_salary': 35, 'max_hourly_salary': 40, 'min_yearly_salary': 70000, 'max_yearly_salary': 80000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'healthcare coding', 'data visualization', 'communication', 'collaboration']}"
17,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['communications skills', 'team player', 'pressure management', 'relationship building', 'strategic thinking', 'self-motivation', 'leadership', 'analytical skills', 'problem solving', 'data quality', 'operations experience', 'multi-tasking', 'data analysis']}"
18,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'system development', 'business analysis', 'reporting tools', 'visualization tools', 'AI/ML knowledge', 'data querying', 'project management', 'analytical skills']}"
19,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['ETL Tools', 'BI Tools', 'Database systems', 'Programming Languages']}"
20,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['Data Governance', 'Policies & Standards', 'Communication Skills', 'Power BI', 'Data Visualization']}"
21,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['Data Collection', 'Data Cleaning', 'Database Management', 'Exploratory Data Analysis', 'Data Visualization', 'Communication', 'Stakeholder Collaboration', 'Statistical Analysis', 'Predictive Analysis', 'Domain Expertise']}"
22,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Tableau', 'Power BI', 'Excel', 'Google Sheets', 'statistical analysis', 'data visualization', 'analytical thinking', 'communication', 'attention to detail', 'collaboration']}"
