,applicationsCount,applyType,applyUrl,benefits,companyId,companyName,companyUrl,contractType,experienceLevel,id,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType,min_years_of_experience,min_hourly_salary,max_hourly_salary,min_yearly_salary,max_yearly_salary,required_degree,remote_work,required_skills,simplified_job_title
0,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-coinbase-4097009239?trk=public_jobs_topcard-title,,2857634.0,Coinbase,https://www.linkedin.com/company/coinbase?trk=public_jobs_topcard-org-name,Full-time,Entry level,4097009239,https://www.linkedin.com/jobs/view/data-analyst-at-coinbase-4097009239?trk=public_jobs_topcard-title,United States,5 days ago,,,2024-12-11,"$131,325.00/yr - $154,500.00/yr","Technology, Information and Internet",Data Analyst,Information Technology,3.0,,,131325.0,154500.0,,False,"['SQL', 'data modeling', 'Python', 'data visualization', 'communication', 'collaboration', 'analytical solutions']",Data Analyst
1,Over 200 applicants,EXTERNAL,https://www.disneycareers.com/job/-/-/391/74450193568,,1292.0,The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4100979607,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-4100979607?trk=public_jobs_topcard-title,"New York, NY",2 days ago,,,2024-12-14,"$99,900.00/yr - $133,900.00/yr",Entertainment Providers,Data Analyst,Information Technology,3.0,,,99900.0,133900.0,BS,False,"['SQL', 'data communication', 'data platforms', 'data visualization', 'project management', 'analytical']",Data Analyst
2,Over 200 applicants,EXTERNAL,https://job-boards.greenhouse.io/paretocaptiveservicesllc/jobs/4406141006?gh_src=6e6b07026us,,3345136.0,ParetoHealth,https://www.linkedin.com/company/pareto-health?trk=public_jobs_topcard-org-name,Full-time,Entry level,4084525629,https://www.linkedin.com/jobs/view/data-analyst-at-paretohealth-4084525629?trk=public_jobs_topcard-title,Greater Philadelphia,17 hours ago,,,2024-12-17,,Insurance,Data Analyst,Information Technology,2.0,,,,,BS,True,"['data analysis', 'underwriting', 'stop-loss', 'Excel', 'SQL', 'Tableau', 'problem-solving', 'organizational skills']",Data Analyst
3,Over 200 applicants,EXTERNAL,https://www.thirdlove.com/pages/jobs?gh_jid=7772492002,,6452967.0,ThirdLove,https://www.linkedin.com/company/thirdlove?trk=public_jobs_topcard-org-name,Full-time,Associate,4098608177,https://www.linkedin.com/jobs/view/data-analyst-at-thirdlove-4098608177?trk=public_jobs_topcard-title,San Francisco Bay Area,4 days ago,Marissa Ingrande,https://www.linkedin.com/in/marissa-ingrande-4846b977,2024-12-13,"$90,000.00/yr - $140,000.00/yr",Retail Apparel and Fashion,Data Analyst,Analyst,2.0,,,,,BS,False,"['SQL', 'data manipulation', 'data visualization', 'statistical analysis', 'modeling', 'data warehousing', 'ETL', 'A/B testing']",Data Analyst
6,Over 200 applicants,EXTERNAL,https://careers.mcafee.com/global/en/job/MCAFGLOBALJR0031489ENGLOBALEXTERNAL/Data-Analyst?utm_medium=phenom-feeds&source=LinkedIn&utm_source=linkedin,,2336.0,McAfee,https://www.linkedin.com/company/mcafee?trk=public_jobs_topcard-org-name,Full-time,Not Applicable,4102473051,https://www.linkedin.com/jobs/view/data-analyst-at-mcafee-4102473051?trk=public_jobs_topcard-title,"San Jose, CA",1 day ago,,,2024-12-16,"$81,120.00/yr - $133,260.00/yr",Computer and Network Security,Data Analyst,Information Technology,3.0,38.0,64.0,81120.0,133260.0,,True,"['SQL', 'Python', 'R', 'data visualization', 'Statistical Testing', 'A/B testing', 'data analysis', 'big data', 'data pipelines', 'data integration']",Data Analyst
7,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-%E2%80%93-new-york-at-atrium-uk-4096065459?trk=public_jobs_topcard-title,,633456.0,Atrium UK,https://uk.linkedin.com/company/atrium-uk?trk=public_jobs_topcard-org-name,Full-time,Associate,4096065459,https://www.linkedin.com/jobs/view/data-analyst-%E2%80%93-new-york-at-atrium-uk-4096065459?trk=public_jobs_topcard-title,New York City Metropolitan Area,6 days ago,Lianne Rouissi,https://uk.linkedin.com/in/lianne-rouissi-a519352,2024-12-10,,"Technology, Information and Media and Broadcast Media Production and Distribution",Data Analyst - New York,Analyst,,,,,,,False,"['data analysis', 'data management', 'data mining', 'business requirements', 'report presentation', 'relational databases', 'SQL', 'business solutions', 'process improvement', 'data governance', 'Data Management lifecycle', 'master data', 'project management methodologies', 'Scrum', 'Kanban', 'Waterfall', 'SAFe', 'project management tools', 'statistical analysis', 'SAS', 'SPSS', 'R']",Data Analyst
8,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-agero-inc-4083490234?trk=public_jobs_topcard-title,,9477.0,"Agero, Inc.",https://www.linkedin.com/company/agero-inc-?trk=public_jobs_topcard-org-name,Full-time,Entry level,4083490234,https://www.linkedin.com/jobs/view/data-analyst-at-agero-inc-4083490234?trk=public_jobs_topcard-title,"Massachusetts, United States",2 days ago,,,2024-12-14,,IT Services and IT Consulting,Data Analyst,Information Technology,2.0,,,,,BS,False,"['data analytics', 'business analytics', 'cloud data platforms', 'SQL', 'Python', 'R', 'data visualization', 'statistical techniques', 'communication', 'problem-solving', 'project management']",Data Analyst
9,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-numero-data-4097012488?trk=public_jobs_topcard-title,"Vision insurance
Dental insurance
Medical insurance",10520445.0,Numero Data,https://www.linkedin.com/company/numero-data?trk=public_jobs_topcard-org-name,Contract,Entry level,4097012488,https://www.linkedin.com/jobs/view/data-analyst-at-numero-data-4097012488?trk=public_jobs_topcard-title,"Herndon, VA",5 days ago,Mohd. Ibrahim,https://www.linkedin.com/in/mohd-ibrahim-a293981a5,2024-12-11,"$70,000.00/yr - $75,000.00/yr","IT Services and IT Consulting, Business Consulting and Services, and Professional Training and Coaching",Data Analyst,"Analyst, Business Development, and Consulting",,,,,,BS,False,"['quantitative field', 'software development', 'analytical skills', 'problem-solving', 'data analysis', 'Python', 'SQL', 'R', 'communication skills', 'work ethic', 'Cloud technologies', 'relational database', 'team player']",Data Analyst
10,Over 200 applicants,EXTERNAL,https://jobs.lever.co/windfalldata/8d71be22-ff53-4495-b46f-cc26705de624,"Medical insurance
Child care support
Paid paternity leave
Commuter benefits
Paid maternity leave
Vision insurance
Dental insurance
401(k)",10874927.0,Windfall,https://www.linkedin.com/company/windfall-data?trk=public_jobs_topcard-org-name,Full-time,Associate,4078673761,https://www.linkedin.com/jobs/view/data-analyst-at-windfall-4078673761?trk=public_jobs_topcard-title,"San Francisco, CA",5 days ago,,,2024-12-11,"$90,000.00/yr - $120,000.00/yr",Software Development,Data Analyst,Analyst and Information Technology,2.0,43.0,58.0,90000.0,120000.0,BS,,"['SQL', 'Python', 'teamwork', 'data analysis', 'dashboards']",Data Analyst
12,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-us-contract-at-expedia-group-4096170137?trk=public_jobs_topcard-title,"Medical insurance
Vision insurance
Dental insurance
401(k)",2751.0,Expedia Group,https://www.linkedin.com/company/expedia?trk=public_jobs_topcard-org-name,Contract,Associate,4096170137,https://www.linkedin.com/jobs/view/data-analyst-us-contract-at-expedia-group-4096170137?trk=public_jobs_topcard-title,United States,6 days ago,,,2024-12-10,$83.00/hr - $93.00/hr,Travel Arrangements and Software Development,Data Analyst (US - Contract),Analyst and Information Technology,4.0,83.0,93.0,,,BS/MS,True,"['SQL', 'Tableau', 'Power BI', 'data extraction', 'analytical skills', 'time management', 'project management', 'communication']",Data Analyst
