"applicationsCount","applyType","applyUrl","benefits","companyId","companyName","companyUrl","contractType","description","experienceLevel","id","jobUrl","location","postedTime","posterFullName","posterProfileUrl","publishedAt","salary","sector","title","workType"
"84 applicants","EASY_APPLY","https://www.linkedin.com/jobs/view/supply-chain-data-analyst-at-kforce-inc-4109843530?trk=public_jobs_topcard-title","","3076","Kforce Inc","https://www.linkedin.com/company/kforce?trk=public_jobs_topcard-org-name","Contract","Responsibilities

Kforce has a client seeking a Supply Chain Data Analyst to join their team in Orlando, FL.

Requirements


 * Ideally, Industrial Engineering degree with at least 2 to 3 years of experience
 * Supply chain data analytics background, especially around transportation, but inventory and DC analytics are also desired
 * Ability to ask the right questions and gain the required understanding of the business
 * Ability to do complex data analysis, and bubble up the gist/story behind the data and explain to non-technical person in simple language
 * Ability to build optimization models using Python
 * Optimization experience desired
   
   

Technical Skills


 * Python
 * SQL
 * Excel
   
   

The pay range is the lowest to highest compensation we reasonably in good faith believe we would pay at posting for this role. We may ultimately pay more or less than this range. Employee pay is based on factors like relevant education, qualifications, certifications, experience, skills, seniority, location, performance, union contract and business needs. This range may be modified in the future.

We offer comprehensive benefits including medical/dental/vision insurance, HSA, FSA, 401(k), and life, disability & ADD insurance to eligible employees. Salaried personnel receive paid time off. Hourly employees are not eligible for paid time off unless required by law. Hourly employees on a Service Contract Act project are eligible for paid sick leave.

Note: Pay is not considered compensation until it is earned, vested and determinable. The amount and availability of any compensation remains in Kforce's sole discretion unless and until paid and may be modified in its discretion consistent with the law.

This job is not eligible for bonuses, incentives or commissions.

Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.

By clicking “Apply Today” you agree to receive calls, AI-generated calls, text messages or emails from Kforce and its affiliates, and service providers. Note that if you choose to communicate with Kforce via text messaging the frequency may vary, and message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You will always have the right to cease communicating via text by using key words such as STOP.","Associate","4109843530","https://www.linkedin.com/jobs/view/supply-chain-data-analyst-at-kforce-inc-4109843530?trk=public_jobs_topcard-title","Orlando, FL","9 hours ago","","","2024-12-26","","IT Services and IT Consulting","Supply Chain Data Analyst","Management and Manufacturing"
"Over 200 applicants","EXTERNAL","https://www.disneycareers.com/job/-/-/391/75042759584","","1292","The Walt Disney Company","https://www.linkedin.com/company/the-walt-disney-company?trk=public_jobs_topcard-org-name","Full-time","About The Role

The Disney Streaming Analytics’ Content & Engagement Core Data team is seeking a Data Analyst who will help build and scale our data that will empower us to measure and understand engagement behavior within our Disney+ and Hulu platforms. We partner with other teams across the business to turn data into information, information into insights and insights into key business decisions that steer the strategic direction of the company. The right person for this role thrives in a fast-paced environment, loves problem-solving, and is a good communicator and a self-starter; If you are someone who gains personal happiness from transforming data into knowledge and driving business action, then this is a phenomenal role for you.

We are seeking a technical Data Analyst who will focus on understanding and communicating engagement behavior to our many stakeholders. Collaborating with finance, product, data engineering, data science, and business teams, this position will act as a subject matter expert for all SVOD content within Disney+ and Hulu. This expertise will manifest in the design and implementation of core engagement data models that enable internal clients to explore, analyze, and monitor data.

Responsibilities



 * ETL & Metric Design: Own metric design and creation by defining business requirements, framework & optimization, and long term data scalability.
 * Creation of a Single Source of Truth: Bring together analysts and stakeholders from across the team to define and standardize metrics.
 * Partnership and communication: Partner closely with business stakeholders to identify and understand what they need to drive decisions, and with other data teams to improve platform capabilities around data modeling, testing platforms, data visualization, and data architecture.
 * Reporting and Performance: support reporting for exceptionally large-scale data. Serve as an expert for analysts on the team and a partner with Data Engineering in designing and building performant ETLs, intermediary tables, and beautiful and quick Tableau and Looker dashboards.
   
   
   

Minimum Qualifications



 * A Bachelor’s degree or above in Computer Science, MIS, Statistics, Economics, Mathematics, Data Engineering, or related degree.
 * 3+ years of analytical experience, ideally specifically in analytics and/or engineering.
 * Mastery of SQL, some experience with SparkSQL, Hive, etc. a plus
 * Experience developing and maintaining optimized tables for reporting through ETLs.
 * Project and resource management experience, outlining objectives, and timelines, and coordinating work across multiple contributors.
 * Some experience with Python/R or other statistical programming languages.
 * Intense drive and passion for delivering exceptional products.
 * Strong communication skills, as well as written and verbal presentation skills and experience presenting to diverse audiences.
 * Expertise developing data exploration and data visualization tools like Tableau, Looker, Chartio, etc.
   
   
   

Nice to haves



 * A sense of humor
 * Unique passions or areas of interest that influence the way you interact with others and/or do your job
   
   
   

The hiring range for this position in Santa Monica, CA is $93,400 to $125,200 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.","Mid-Senior level","4109844279","https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-4109844279?trk=public_jobs_topcard-title","Santa Monica, CA","10 hours ago","","","2024-12-26","$93,400.00/yr - $125,200.00/yr","Entertainment Providers","Data Analyst","Information Technology"
"Over 200 applicants","EASY_APPLY","https://www.linkedin.com/jobs/view/data-analyst-at-sapio-sciences-4109563546?trk=public_jobs_topcard-title","","1341751","Sapio Sciences","https://www.linkedin.com/company/sapio-sciences-llc?trk=public_jobs_topcard-org-name","Full-time","About Sapio Sciences

Sapio Sciences is a rapidly growing SaaS company specializing in cutting-edge LIMS and ELN solutions for the biotech, pharmaceutical, CRO and clinical laboratory industries. We pride ourselves on innovation, customer success, and delivering data-driven insights to improve decision-making across our operations.

Role Overview

As a Data Analyst at Sapio Sciences, you will play a key role in unlocking actionable insights from our data to support business-critical decisions. Working across teams—including finance, operations, sales, and marketing—you will transform raw data into meaningful narratives and predictive models. This role is perfect for a detail-oriented individual passionate about analytics, problem-solving, and driving efficiency through data.

Working Location

This is a remote, full-time position that is suited to someone based in either the UK or East-coast, US. you will be working cross-functionally with a global team, so you will need flexibility in terms of working hours.

(Please note: we are unable to provide work Visas/assistance)

Key Responsibilities


 * Data Analysis & Reporting
    * Develop, maintain, and automate dashboards to provide real-time visibility into key metrics across the business.
    * Perform deep-dive analysis to uncover trends, opportunities, and risks.

 * Forecasting & Modelling
    * Support strategic planning by building predictive models for revenue, customer behaviour, and operational efficiency.
    * Collaborate with finance on budgeting and forecasting processes.

 * Data Integrity & Governance
    * Work with CRM admin to ensure accuracy and consistency of data across multiple systems (CRM, ERP, marketing automation tools, etc.).
    * Define and enforce data quality standards in collaboration with C-Suite, IT and system owners.
    * Develop and maintain a reporting tool to monitor the KPI performance of the sales team

 * Cross-Functional Support
    * Partner with teams across finance, sales, and customer success to understand business needs and provide data-driven solutions.
    * Present insights and recommendations to leadership in clear, actionable formats.
      
      
      

Skills & Qualifications


 * Education:
    * Bachelor’s degree in data science, Statistics, Mathematics, Computer Science, or a related field. Advanced degrees are a plus.

 * Technical Expertise:
    * Must be proficient using BI platforms, Power BI preferred.
    * Familiarity with CRM tools (e.g., Salesforce) and other operational platforms (customer success, delivery, Netsuite) with data integration platforms is a bonus.

 * Experience:
    * 3+ years of experience in a data analysis or similar role, ideally within a SaaS, technology, or high-growth environment.
    * Must have experience providing analytical insights relating to a sales pipeline and service delivery.
    * Ideally experienced in Pharma / Healthcare roles
    * Demonstrated ability to translate business requirements into analytical solutions.

 * Soft Skills:
    * Strong communication and storytelling abilities—presenting technical findings to non-technical stakeholders.
    * Detail-oriented with excellent problem-solving skills.
    * Proactive and able to manage multiple priorities in a fast-paced environment.
      
      
      

The requirements listed represent the knowledge, skill, and ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.

What We Offer:


 * Competitive salary and benefits package, including discretionary annual bonus
 * 401k plan/Pension
 * Healthcare Insurance Plan
 * Remote work flexibility with travel opportunities.
 * Comprehensive onboarding and training program.
 * Opportunities for professional growth and development.
 * A collaborative and supportive work environment.
   
   
   

Sapio Sciences is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.

Sapio Sciences is on a mission to accelerate scientific drug discovery and high-throughput clinical and diagnostics for our clients and partners. The Sapio team consists of expert and highly collaborative scientists, software developers, and professionals passionate about providing a best-in-class lab informatics platform and industry-specific solutions.

Sapio is one of the few software providers to offer a truly unified and highly configurable lab informatics platform and a broad suite of purpose-built solutions. The Sapio platform makes it easy for scientists, laboratory, and bio/informatics professionals to streamline and manage their end-to-end laboratory operations, from instrument data integration to workflow and experiment setup to sample and materials management, data management, and scientific data analysis and reporting.","Mid-Senior level","4109563546","https://www.linkedin.com/jobs/view/data-analyst-at-sapio-sciences-4109563546?trk=public_jobs_topcard-title","London, OH","19 hours ago","","","2024-12-26","","Software Development","Data Analyst","Information Technology"
"107 applicants","EASY_APPLY","https://www.linkedin.com/jobs/view/data-analyst-at-jobot-4108653282?trk=public_jobs_topcard-title","","18860134","Jobot","https://www.linkedin.com/company/jobot?trk=public_jobs_topcard-org-name","Full-time","Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page!

Job details

Growing Gaming Company offering Hybrid Work Schedule, 401K, Generous PTO Plan, Awesome Perks around the office

This Jobot Job is hosted by Robert Donohue

Are you a fit? Easy Apply now by clicking the ""Easy Apply"" button and sending us your resume.

Salary $75,000 - $115,000 per year

A Bit About Us

Leading Gaming Company (Video Gaming Terminal Operator) is seeking a Data Analyst to join our growing team in Chicago, IL.

Hybrid Work Schedule - (Work from home up to 4 days a week)

Summary

Our CRM Data Analyst will be responsible for interpreting data, analyzing results, and providing actionable insights to support decision-making across various departments. This role involves working with large data sets, identifying trends, and presenting findings clearly and effectively. This individual will be responsible for retrieving data from video gaming terminals (VGTs) and connecting that data to our CRM, HubSpot, leveraging data visualization to communicate complex data in a clear, engaging manner.

Key Responsibilities


 * Data Collection and Cleaning Collect, clean, and validate data from multiple sources to ensure accuracy and completeness.
 * Data Analysis Analyze data using statistical techniques and tools to identify trends, patterns, and correlations.
 * Reporting Create and maintain dashboards, reports, and visualizations to communicate findings to stakeholders.
 * Insights and Recommendations Provide actionable insights and recommendations based on data analysis to support strategic decision-making.
 * Collaboration Work closely with other departments (e.g., marketing, finance, operations) to understand their data needs and provide support.
 * Tool Management Utilize data analysis tools and software (e.g., SQL, Excel, Python, R, Tableau) to perform analyses and generate reports.
 * Problem-Solving Address data-related issues and improve data quality and reporting processes.
 * Documentation Document data processes, methodologies, and findings for future reference and knowledge sharing.
   
   



Why join us?



 * Growth opportunities with our company
 * Hybrid Work Schedule - (Work from home up to 4 days a week)
 * Generous PTO Plan
 * 401K
 * Awesome Perks around the office
 * Great Health Benefits
   
   

Job Details

Qualifications


 * Education Bachelor's degree in data science, statistics, computer science, mathematics, or a related field. Advanced degrees or certifications are a plus.
 * Experience Proven experience as a CRM Data Analyst or in a similar role. Experience with data analysis tools and techniques.
 * Skills Strong analytical and problem-solving skills. Proficiency in SQL, Excel, and data visualization tools (e.g., Tableau, Power BI). Familiarity with programming languages such as Python or R is desirable.
 * Communication Excellent verbal and written communication skills, with the ability to present complex data findings to non-technical stakeholders.
 * Attention to Detail High level of accuracy and attention to detail in data analysis and reporting.
   
   

Preferred Skills


 * Experience with big data technologies (e.g., Hadoop, Spark).
 * Knowledge of machine learning and predictive analytics.
 * Experience with data warehousing and ETL processes.
   
   

Interested in hearing more? Easy Apply now by clicking the ""Easy Apply"" button.

Want to learn more about this role and Jobot?

Click our Jobot logo and follow our LinkedIn page!

","Not Applicable","4108653282","https://www.linkedin.com/jobs/view/data-analyst-at-jobot-4108653282?trk=public_jobs_topcard-title","Chicago, IL","12 hours ago","","","2024-12-26","$75,000.00/yr - $115,000.00/yr","Software Development, Technology, Information and Internet, and Technology, Information and Media","Data Analyst","Information Technology"
"53 applicants","EXTERNAL","https://www.disneycareers.com/job/-/-/391/75053130416","","1292","The Walt Disney Company","https://www.linkedin.com/company/the-walt-disney-company?trk=public_jobs_topcard-org-name","Full-time","About The Role

The DTC Product & Tech Analytics team is seeking a Sr. Data Analyst who will be an outstanding addition to our team. We partner with other teams across the business to turn data into information, information into insights and insights into key business decisions that steer the strategic direction of the company. The right person for this role loves problem-solving, even with incomplete information and is a good communicator; telling high-impact stories with data. If you are someone who is energized from transforming data into knowledge and driving business action, then this is a phenomenal role for you.

You will design innovative analytic approaches to measure success, test hypotheses, extract actionable insights, and develop recommendations to drive the performance of Hulu. You’ll work with personalization product teams to understand the performance of recommendation systems and identify areas of opportunity for investment. You’ll also work with content programming teams to optimize merchandising strategies for major releases.

Responsibilities



 * Experimentation: Support the design, analysis, and interpretation of experiments across the product.
 * Business Performance Reporting, Visualization: Provide support for cross-functional stakeholders to understand performance of the platform. When a metric is ahead or behind expectations, perform root cause analysis of these changes.
 * Deep-Dive Analysis: Use advanced techniques (statistical modeling, experimentation, causal inference) to analyze user behavioral data to identify patterns and uncover opportunities. Create a rich understanding of how people are interacting with the platform and content and use these insights to then make recommendations.
 * Opportunity Identification and Sizing: Help evaluate potential product opportunities to assist stakeholders evaluate trade-offs for driving business performance.
   
   
   

Basic Qualifications



 * A Bachelor’s degree in Computer Science, MIS, Statistics, Economics, Mathematics, Engineering, or related degree
 * 5+ years of analytical experience.
 * 2+ years’ work experience using SQL
 * Experience with Python/R or other statistical programming language
 * Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc.
 * Understanding of statistics concepts (e.g. confidence intervals, hypothesis testing, regression analysis).
 * Ability to think strategically, analyze and interpret market and consumer information.
 * Strong communication skills, including written and verbal presentation skills and experience presenting to diverse audiences.
   
   
   

Preferred Qualifications



 * Master’s degree in Computer Science, MIS, Statistics, Economics, Mathematics, Engineering, or related degree
   
   
   

Additional Information

#DISNEYTECH

The hiring range for this position in New York is $120,300 - $161,300 per year and in Santa Monica is $114,900 - $154,100. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.","Mid-Senior level","4109848024","https://www.linkedin.com/jobs/view/sr-data-analyst-at-the-walt-disney-company-4109848024?trk=public_jobs_topcard-title","Santa Monica, CA","10 hours ago","","","2024-12-26","$120,300.00/yr - $161,300.00/yr","Entertainment Providers","Sr Data Analyst","Information Technology"
"106 applicants","EXTERNAL","https://kalibri-labs.breezy.hr/p/5b55fc9fb0f7-data-analyst?source=linkedin","","5390815","Kalibri Labs","https://www.linkedin.com/company/kalibri-labs-llc?trk=public_jobs_topcard-org-name","Full-time","Kalibri Labs, a big data and analytics firm in the hospitality industry, is seeking an Analyst to support our Data Solutions team. The Data Solutions team oversees all aspects of data fulfillment needs for Customers and Prospects. This role will work cross-functionally with Enterprise Sales, Customer Success, and Technology to ensure that Kalibri Labs provides high quality data solutions that drive meaningful value for our customers.

The Analyst will assist with data synthesis, ad-hoc analysis, custom reports, data quality assurance, prep for client meetings and data visualizations for industry presentations. The Analyst will also contribute to the overall data strategy roadmap, and will invest time in research and development to evolve our analytical offerings to meet client needs and scale as the company grows.

The ideal candidate possesses strong analytical skills, and a proven record of creating analytic content for various audiences.

Responsibilities


 * Industry analysis: Responsible for producing data in support of monthly industry performance analysis. Includes both standard reporting on U.S. Hotel Industry performance, and customized analyses tailored to each Enterprise client's areas of interest and use cases. Also includes data QA and troubleshooting of any related data issues (partnering with the technical team as needed).
 * Ad hoc analysis: Partner with the Enterprise Sales and Customer Success teams to build bespoke analyses to meet customer needs.
 * Research and development: Evolve our portfolio of standard data visualizations and our analytical methodologies as needed in support of client visits, industry meetings and presentations.
 * Process improvement: Help inform and influence priorities for the technical teams by identifying opportunities to scale, automate or improve our analytical processes or toolsets.
   
   

Desired Experience And Skills


 * Advanced to Expert proficiency in Microsoft Excel (advanced formulas, experience building dynamic and scalable workbooks, and advanced visualization techniques)
 * Advanced knowledge of Powerpoint, including the ability to distill complex data into straightforward insights
 * Intermediate experience with SQL (or beginner level with ability to learn quickly)
 * Experience with BI tools (Looker) preferred
 * Excellent problem solving, analytical and data visualization skills
 * Excellent attention to detail and organizational skills
 * Bachelors degree in finance, hotel management, business, or related field
 * 1-3 years of experience in an analytics-focused role","Entry level","4109743915","https://www.linkedin.com/jobs/view/data-analyst-at-kalibri-labs-4109743915?trk=public_jobs_topcard-title","United States","2 hours ago","","","2024-12-26","","Hospitality","Data Analyst","Information Technology"
"58 applicants","EXTERNAL","https://hiremefast.zohorecruit.com/jobs/Careers/734702000103406578/Junior-Data-Analyst?source=LinkedIn-Basic&embedsource=LinkedIn%2BLimited%2BListings","","102766987","HireMeFast LLC","https://www.linkedin.com/company/hiremefast-llc-us?trk=public_jobs_topcard-org-name","Full-time","This is a remote position.

DISCLAIMER: This job posting is intended for active pooling of candidates who will become part of our talent pool. Your qualifications will be assessed against both current and future job openings. Should your application align with a role that corresponds to your skills and experience, and an opportunity arises, our recruitment team will reach out to you immediately. Please note that this does not guarantee immediate placement or contact. Additionally, we exclusively consider applications from individuals who are currently reside in the US/Canada during their application process.

Salary: $62,000 - $72,000 per annum

Experience Required: Minimum 1 year of project experience

Role Responsibilities:


 * Work in close collaboration with the Business Intelligence Lead, Federal Data Lead, and other Program teams
 * Develop, maintain, and improve BI tools, build and enhance standard operating procedures (SOPs)
 * Manage various data sets and active Google workbooks with adjacent contract teams, monitor and analyze financial health information at the project and program levels
 * Communicate with client leadership to assess data needs and emerging requirements
 * Work with large data sets, workbooks, and spreadsheets to manipulate and manage program-level information using macros, queries, scripts, etc.
 * Gather requirements and lead the development of long-term data management tools, processes, and solutions based on organizational needs.
 * Be comfortable working with collaboration tools such as; Google Suite, Microsoft Office
 * Providing general support to the client including, but not limited to, analysis, data calls, financial management, risk management, audits, and project management-related tasks.
   
   

Qualifications:


 * Bachelor's Degree in business, business intelligence, data or information management, or similar.
 * Proficient in Google Scripts
 * Minimum 1 year of data or information management and/or data analysis experience.
 * Experience using Microsoft Excel and Google Sheets (macros, imports, query functions).
 * Experience with developing in Google App Script is a plus.
 * Experience using SQL Developer is a plus.
 * Excellent written and verbal communication skills.
 * Willing to work in an administratively manual environment while working towards automation of processes in the future.","Entry level","4109839453","https://www.linkedin.com/jobs/view/junior-data-analyst-at-hiremefast-llc-4109839453?trk=public_jobs_topcard-title","Bear, DE","10 hours ago","","","2024-12-26","$62,000.00/yr - $72,000.00/yr","Software Development","Junior Data Analyst","Information Technology"
"Be among the first 25 applicants","EASY_APPLY","https://www.linkedin.com/jobs/view/data-analyst-4110135002?trk=public_jobs_topcard-title","","","","","Full-time","Role Description:




This is a full-time remote role for a Data Analyst at Siemens Rail. The Data Analyst will be responsible for daily tasks such as performing data analytics, creating data models, and communicating insights to stakeholders.




Qualifications:




 * Analytical Skills, Data Analytics, and Statistics
 * Strong Communication skills
 * Data Modeling expertise
 * Bachelor's degree in Data Science, Statistics, Computer Science, or related field
 * Experience with data visualization tools
 * Ability to work independently and in a remote setting


Job Type: Full-time




Pay: $150,000.00 - $195,000.00 per year




Benefits:

 * Dental insurance
 * Health insurance
 * Paid holidays
 * Paid time off
 * Retirement plan
 * Vision insurance




Compensation Package:

 * Bonus opportunities
 * Performance bonus




Schedule:

Monday to Friday




Work Location: Remote","Entry level","4110135002","https://www.linkedin.com/jobs/view/data-analyst-4110135002?trk=public_jobs_topcard-title","United States","11 minutes ago","","","2024-12-26","$150,000.00/yr - $195,000.00/yr","","Data Analyst","Information Technology"
"87 applicants","EXTERNAL","https://hiremefast.zohorecruit.com/jobs/Careers/734702000103364259/Junior-Data-Analyst?source=LinkedIn-Basic&embedsource=LinkedIn%2BLimited%2BListings","","102766987","HireMeFast LLC","https://www.linkedin.com/company/hiremefast-llc-us?trk=public_jobs_topcard-org-name","Full-time","This is a remote position.

DISCLAIMER: This job posting is intended for active pooling of candidates who will become part of our talent pool. Your qualifications will be assessed against both current and future job openings. Should your application align with a role that corresponds to your skills and experience, and an opportunity arises, our recruitment team will reach out to you immediately. Please note that this does not guarantee immediate placement or contact. Additionally, we exclusively consider applications from individuals who are currently reside in the US/Canada during their application process.

Salary: $62,000 - $72,000 per annum

Experience Required: Minimum 1 year of project experience

Qualifications

Minimum Background and Qualifications Requirement


 * Bachelor's degree or Master's degree in Computer Engineering, Computer Science, Mathematics, Electrical Engineering, Information Systems, or IT
 * Must have Mathematics or Statistics background
   
   

Required

Technical and Soft Skills Required


 * Experience in Python programming and understanding of the software development life cycle.
 * Knowledge of Linear Algebra, Statistics, and Mathematics concepts.
 * Excellent written and verbal communication skills.
 * Highly motivated, self-learner, team player, and technically inquisitive.
 * Strong work ethics and creative problem-solving abilities.
   
   

Preferred Skills


 * Deep Learning
 * Data visualization
 * NLP
 * Scala
 * Django
   
   

Roles and Responsibilities


 * Collaborate with dynamic teams of engineers, developers, and scientists who research and integrate algorithms to develop an application, software, and computer system solutions to address complex data problems.
 * Assess project requirements and develop data analysis algorithms.
 * Engage developers to share their opinions, knowledge, and recommendations to meet the deliverables.
 * Contribute to technical solutions and implement software analyses to unlock the secrets held by big data sets.
 * Integrate components like web-based UI, commercial indexing products, and access control mechanisms to create operational information and knowledge discovery systems.
   
   

Benefits


 * Competitive salary
 * Flexible work schedule & part-time off
 * E-verified
 * No relocation
 * H1B filing
 * On job technical support
 * Skill Enhancement
   
   

Opportunity to work with Fortune 500 Companies

","Entry level","4109842323","https://www.linkedin.com/jobs/view/junior-data-analyst-at-hiremefast-llc-4109842323?trk=public_jobs_topcard-title","Gilbert, AZ","10 hours ago","","","2024-12-26","$62,000.00/yr - $72,000.00/yr","Software Development","Junior Data Analyst","Information Technology"
"35 applicants","EXTERNAL","https://ally.avature.net/careers/JobDetail/Data-Analyst-Vehicle-Remarketing/13307?rb=LinkedIn","","1474","Ally","https://www.linkedin.com/company/ally?trk=public_jobs_topcard-org-name","Full-time","Ally and Your Career

Ally Financial only succeeds when its people do - and that’s more than some cliché people put on job postings. We live this stuff! We see our people as, well, people - with interests, families, friends, dreams, and causes that are all important to them. Our focus is on the health and safety of our teammates as well as work-life balance and diversity and inclusion. From generous benefits to a variety of employee resource groups, we strive to build paths that encourage employees to stretch themselves professionally. We want to help you grow, develop, and learn new things. You’re constantly evolving, so shouldn’t your opportunities be, too?

Work Schedule: Ally designates roles as (1) fully on-site, (2) hybrid, or (3) fully remote. Hybrid roles are generally expected to be in the office a certain number of days per week as indicated by your manager. Your hiring manager will discuss this role's specific work requirements with you during the hiring process. All work requirements are subject to change at any time based on leader discretion and/or business need.

The Opportunity


 * Hybrid role: 3 days in-office, 2 days remote. Must be located in Detroit, MI.
 * Top 3 things we're looking for: 1 - very comfortable leveraging SQL, SAS, and MS Access, 2 - motivated energy, 3 - team and process oriented
   
   

Report out on SmartAuction business performance; Work closely with sales, operations, and leadership to analyze emerging trends and drive business decisions.

The Work Itself


 * Develop and maintain daily, weekly, monthly, and ad-Hoc reporting and ensure the information is readily accessible to the field sales organization via posting on various platforms and via push report methods
 * Identify operating/performance trends and outliers via interpretation of business intelligence data and quantitative analysis
 * Assist with development and implementation of appropriate metrics/reporting that drive business results and adoption of best practices.
 * Interprets and translates business data and intelligence into market insights and actionable reporting.
 * Communicates effectively to support corporate objectives and identification of market growth opportunities and competitive landscape
 * Identifies automation opportunities within the immediate team, as well as other SmartAuction teams, to promote greater operational efficiency & effectiveness
 * Promotes sales team success through actionable recommendations and executive summaries to accompany data and analytics
 * Support of and participation with senior leadership team and matrix partners in revenue generation and process improvement opportunities
 * Elevates risk issues to management and supports monitoring and mitigation of risk elements by first line of defense
 * Active role with greater Remarketing sales team
   
   

Skills

The Skills You Bring


 * Bachelor's degree in related field strongly preferred, graduate degree is preferred
 * 1+ years of analytics or reporting-related experience
 * Ability to contribute to discussions with stakeholders from various capacities
 * Experience in a customer/client service capacity to assist with developing, maintaining, & troubleshooting customer-facing reporting & issues
 * Ability to independently & creatively research, troubleshoot, & solve technical issues or challenges
 * Demonstrate a developed understanding of quantitative and qualitative analysis and research methods
 * Strong practical knowledge of SQL & database technologies (Oracle, Snowflake)
 * Experience with SAS and MS Access; Experience with other languages such as Python or R is a plus
 * Experience with logistical regression, decision trees, survival analysis, mathematical program is a plus
 * Experience with visualization software such as Power BI (preferred), Tableau, Qlik Sense, etc.
 * Strong analytical, communication (written and oral), and interpersonal skills
 * Ability to respond quickly to a changing environment
   
   

At this time, Ally will not sponsor a new applicant for employment authorization for this position.

#DFS

How We'll Have Your Back

Ally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals. Our Total Rewards program includes industry-leading compensation and benefits plus additional incentives that are designed to meet your needs and those of your family so you can get the most out of your career and your life, including:


 * Time Away: 11 paid holidays, 20 paid time off days, and 8 hours of volunteer time off, yearly (paid time off is prorated based on start date)
 * Planning for the Future: plan for the near and long term with an industry-leading 401K retirement savings plan with matching and company contributions, student loan pay downs and 529 educational save up assistance programs, tuition reimbursement, employee stock purchase plan, and financial learning center and financial coach access.
 * Supporting your Health & Well-being: flexible health and insurance options including medical, dental and vision, employee, spouse and child life insurance, short- and long-term disability, pre-tax Health Savings Account with employer contributions, Healthcare FSA, critical illness, accident & hospital indemnity insurance, and a total well-being program that helps you and your family stay on track physically, socially, emotionally, and financially.
 * Building a Family: adoption, surrogacy and fertility assistance as well as paid parental and caregiver leave, Dependent Day Care FSA back-up child and adult/elder care days and childcare discounts.
 * Work-Life Integration: other benefits including Mentally Fit Employee Assistance Program, subsidized and discounted Weight Watchers® program and other employee discount programs.
 * Other compensations: depending on the role for which you are considered, you may be eligible for travel allowances, relocation assistance, a signing bonus and/or equity.
 * To view more detailed information about Ally’s Total Rewards, please visit this link: https://www.ally.com/content/dam/pdf/corporate/ally-total-rewards-snapshot.pdf
   
   

Who We Are:

Ally Financial is a customer-centric, leading digital financial services company with passionate customer service and innovative financial solutions. We are relentlessly focused on ""Doing it Right"" and being a trusted financial-services provider to our consumer, commercial, and corporate customers. For more information, visit www.ally.com.

Ally is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity or expression, pregnancy status, marital status, military or veteran status, genetic disposition or any other reason protected by law.

We are committed to working with and providing reasonable accommodation to applicants with physical or mental disabilities. For accommodation requests, email us at work@ally.com. Ally will not discriminate against any qualified individual who is capable of performing the essential functions of the job with or without reasonable accommodation.

Base Pay Range: $55000 - $95000 USD

An individual's position in the range is determined by the specific role, the scope and responsibilities of the role, work experience, education, certification(s), training, and additional qualifications. We review internal pay, the competitive market, and business environment prior to extending an offer.

Incentive Compensation: This position is eligible to participate in our annual incentive plan.

","Entry level","4109172446","https://www.linkedin.com/jobs/view/data-analyst-vehicle-remarketing-at-ally-4109172446?trk=public_jobs_topcard-title","Detroit, MI","2 hours ago","","","2024-12-26","$55,000.00/yr - $95,000.00/yr","Financial Services","Data Analyst - Vehicle Remarketing","Information Technology"
