,companyName,applyUrl,experienceLevel,location,min_years_of_experience,required_degree,remote_work,avg_hourly_salary,avg_yearly_salary,simplified_job_title
0,Coinbase,https://www.linkedin.com/jobs/view/data-analyst-at-coinbase-4097009239?trk=public_jobs_topcard-title,Entry level,United States,3.0,,,,142912.5,Data Analyst
12,Expedia Group,https://www.linkedin.com/jobs/view/data-analyst-us-contract-at-expedia-group-4096170137?trk=public_jobs_topcard-title,Associate,United States,4.0,BS/MS,True,88.0,,Data Analyst
16,Lumata Health,https://www.linkedin.com/jobs/view/data-analyst-at-lumata-health-4095622294?trk=public_jobs_topcard-title,Entry level,United States,2.0,BS,True,37.5,75000.0,Data Analyst
27,ConglomerateIT,https://www.linkedin.com/jobs/view/data-analyst-at-conglomerateit-4096546565?trk=public_jobs_topcard-title,Mid-Senior level,United States,8.0,,True,,,Data Analyst
33,Akkodis,https://www.linkedin.com/jobs/view/data-analyst-100%25-remote-direct-hire-fte-at-akkodis-4095595959?trk=public_jobs_topcard-title,Mid-Senior level,United States,,BS,True,,100000.0,Data Analyst
36,Netwrix Corporation,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?jobId=515949&ccId=19000101_000001&source=LI&type=JS&lang=en_US&cid=79917a52-c723-4fe2-87fe-ed8bdc2f309b,Entry level,United States,8.0,MS,,,85000.0,Data Analyst
42,Bamboo Insurance,https://www.linkedin.com/jobs/view/data-analyst-at-bamboo-insurance-4097057936?trk=public_jobs_topcard-title,Entry level,United States,,Technical/quantitative major,,,75000.0,Data Analyst
43,Metrolec Procesos Industriales,https://www.linkedin.com/jobs/view/data-analyst-at-metrolec-procesos-industriales-4097092627?trk=public_jobs_topcard-title,Entry level,United States,2.0,BS,,37.5,,Data Analyst
53,Mi-Case,https://www.linkedin.com/jobs/view/data-analyst-at-mi-case-4055139514?trk=public_jobs_topcard-title,Mid-Senior level,United States,7.0,BS,True,,,Data Analyst
60,Harvey Nash,https://www.linkedin.com/jobs/view/data-analyst-at-harvey-nash-4026036371?trk=public_jobs_topcard-title,Mid-Senior level,United States,,,True,31.0,,Data Analyst
61,RunPod,https://grnh.se/b5b59fd78us,Entry level,United States,3.0,BS/MS,True,,150000.0,Data Analyst
78,Mural Health,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-mural-health-4100740124?trk=public_jobs_topcard-title,Mid-Senior level,United States,3.0,BS,,,,Business Intelligence
84,Dave,https://jobs.ashbyhq.com/dave/3359a51a-f9b4-43a2-849e-7c938f45bfde?source=Oyva10nAp1,Entry level,United States,2.0,BS/MS,True,,,Data Analyst
86,MetLife Legal Plans,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=269ead05-4042-4cc5-b325-75a73a6e0439&ccId=19000101_000001&jobId=551505&source=CC2&lang=en_US,Associate,United States,,BS,True,,,Data Analyst
89,QuinStreet,https://grnh.se/0bf2b5041us?__jvst=Job+Board&__jvsd=LinkedIn&source=LinkedIn,Mid-Senior level,United States,3.0,,,,105000.0,Data Analyst
93,Braintrust,https://app.usebraintrust.com/jobs/14666?utm_channel=jobboard&gh_src=06bf3def4us&utm_source=linkedin,Entry level,United States,,,,,,Data Analyst
102,"Docker, Inc",https://jobs.ashbyhq.com/docker/2584e19e-6e67-43b0-83a6-5c765e7c8e71?source=LinkedIn%2BPosting,Mid-Senior level,United States,5.0,BS/MS,True,,,Data Analyst
118,Edge & Node,https://edgeandnode.com/jobs/4342476005/,Associate,United States,,,,,300000.0,Data Analyst
130,Apex Systems,https://www.linkedin.com/jobs/view/data-analyst-at-apex-systems-4098440179?trk=public_jobs_topcard-title,Associate,United States,5.0,,True,62.5,,Data Analyst
137,Cohere Health,https://www.linkedin.com/jobs/view/senior-data-analyst-at-cohere-health-4012176432?trk=public_jobs_topcard-title,Mid-Senior level,United States,5.0,BS/MS,True,,105000.0,Data Analyst
155,Tracenable,https://www.linkedin.com/jobs/view/esg-data-analyst-at-tracenable-4101202059?trk=public_jobs_topcard-title,Entry level,United States,,Bachelor’s or Master’s,True,,,Data Analyst
169,"IT Concepts, Inc",https://www.linkedin.com/jobs/view/senior-data-analyst-at-it-concepts-inc-4100074916?trk=public_jobs_topcard-title,Mid-Senior level,United States,5.0,BS,True,,,Data Analyst
170,Zyxware Technologies,https://www.linkedin.com/jobs/view/senior-data-analyst-at-zyxware-technologies-4099921608?trk=public_jobs_topcard-title,Not Applicable,United States,3.0,BS,True,,,Data Analyst
223,IOTA Impact US,https://job-boards.eu.greenhouse.io/iota/jobs/4374597101,Associate,United States,1.0,,True,,50000.0,Data Analyst
226,Tripoint Solutions,https://careers-tripointsolutions.icims.com/jobs/1565/data-analyst/job?mode=job&iis=Job+Posting&iisn=LinkedIn,Entry level,United States,8.0,,True,,,Data Analyst
