,cluster,simplified_job_title,cleaned_required_skills
0,0,Business Intelligence,"['sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'microsoft sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql']"
1,0,Data Analyst,"['sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'm sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql reporting', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql']"
2,0,Data Scientist,"['sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql']"
3,0,Intern,"['sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql']"
4,1,Business Intelligence,"['data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis']"
5,1,Data Analyst,"['data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'sql data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis tool', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis tool', 'data analysis', 'data analysis', 'data', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis tool', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis tool', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis tool', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis tool', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis']"
6,1,Data Scientist,"['data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis']"
7,1,Intern,"['data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis', 'data analysis']"
8,2,Business Intelligence,"['r', 'sa', 'reporting', 'bi tool', 'reporting', 'automating process', 'data pipeline', 'data governance', 'data product', 'domo', 'powerbi', 'crm tool', 'crossfunctional collaboration', 'adobe acrobat', 'reporting', 'data cleansing', 'advanced sql', 'data blending', 'dashboard design', 'mentoring', 'leadership', 'reporting', 'healthcare data', 'transportation operation', 'route planning', 'warehouse operation', 'supply chain metric', 'powerbi', 'data cleaning', 'automation', 'report auditing', 'dax', '', 'interpersonal skill', 'postgresql', 'sql query', 'data warehouse', 'data structure', 'apibased data extraction', 'looker', 'yellowfin', 'dundas', 'qlikview', 'qlik sense', 'amazon quicksight', 'r', 'net', 'metric preparation', 'technical proficiency', 'process improvement', 'technology tool', 'data profiling', 'data validation', 'collaboration', 'data warehousing', 'snowflake', 'qlikview', 'azure data factory', 'talend', 'informatica', 'aws', 'sap', 'agile sdlc', 'azuredevops', 'visio', 'ftp', 'soapui', 'dax', 'reporting', 'dashboard', 'organization', 'data pipelining', 'power query', 'hadoop', 'r', 'alteryx', 'google big query', 'bi tool', 'data warehousing', 'ad hoc analysis', 'dashboard design', 'report generation', 'customer service', 'mentoring', 'bi tool', 'manufacturing', 'mysql', 'mssql', 'oracle', 'crossfunctional team', 'data transformation', 'visual report', 'dashboard', 'kpi scorecard', 'sale', 'billing', 'customer service', 'documentation', 'training', 'report design', 'data synthesis', 'marketing', 'sa', 'agile', 'scrum', 'financial analysis', 'operational analysis', 'microsoft technology', 'ai implementation', 'data automation', 'documentation', 'process improvement', 'data insight', 'technical support', 'tsql', 'plsql', 'team environment', 'proactive mentality', 'confidentiality', 'customer service', 'powerbi', 'atlassian jira', 'businessobjects', 'cognos bi', 'map api', 'ad hoc reporting', 'agile scrum', 'sap erp', 'data validation', 'report preparation', 'organizing', 'adaptability', 'customer focus', 'reporting', 'financial', 'criticalthinking skill', 'ssrs', 'ssis', 'qlik sense', 'r', 'trading principle', 'financial service', 'data warehousing', 'data manipulation', 'data warehouse', 'predictive model', 'data governance', 'collaboration']"
9,2,Data Analyst,"['collaboration', 'data platform', 'underwriting', 'stoploss', 'data manipulation', 'data warehousing', 'r', 'big data', 'data pipeline', 'data integration', 'report presentation', 'process improvement', 'data governance', 'master data', 'scrum', 'kanban', 'waterfall', 'safe', 'sa', 'spss', 'r', 'r', 'statistical technique', 'quantitative field', 'software development', 'r', 'work ethic', 'team player', 'dashboard', 'data extraction', 'statistical coding', 'healthcare coding', 'collaboration', 'team player', 'relationship building', 'selfmotivation', 'leadership', 'operation experience', 'multitasking', 'system development', 'reporting tool', 'aiml knowledge', 'data querying', 'data governance', 'policy standard', 'data collection', 'data cleaning', 'exploratory data analysis', 'stakeholder collaboration', 'domain expertise', 'google sheet', 'collaboration', 'interpersonal skill', 'relationship building', 'statistical concept', 'r', 'microstrategy', 'powerpoint', 'sdlc', 'reporting', 'collaboration', 'presentation', 'telemetry', 'github', 'airflow', 'powerpoint', 'sdlc', 'bi reporting', 'r', 'dax', 'etlelt', 'airflow', 'azure', 'data warehousing', 'collaboration', 'sa', 'data extraction', 'data cleansing', 'reporting', 'data cleaning', 'kpi tracking', 'r', 'telemetry', 'r', 'data integrity', 'interpersonal skill', 'data privacy regulation', 'statistical software', 'data cleaning preparation', 'data warehousing', 'statistical software', 'sdlc', 'itil', 'qatesting', 'six sigma', 'microsoft sharepoint', 'process certification', 'r', 'collaboration', 'amazon stack', 'post gresql', '', 'edi data', 'investigative data', 'data migration', 'data warehousing', 'data governance', 'data manipulation', 'devops', 'power automate', 'm form', 'data profiling', 'data engineering', 'data warehouse', 'data dependency', 'stakeholder alignment', 'aws', 'microsoft word', 'powerpoint', 'r', 'matplotlib', 'data creation', 'data integrity', 'result analysis', 'french canadian proficiency', 'r', 'data warehousing', 'r', 'enterprise third party risk management', 'data aggregation', 'powerpoint', 'sharepoint', 'word', 'adobe', 'powerpoint presentation', 'initiative', 'data discrepancy', 'team collaboration', 'project prioritization', 'google sheet', 'dashboard', 'data pipeline', 'dax', 'data entry', 'independent work', 'reporting', 'data reporting', 'collaboration', 'team collaboration', 'forecasting', 'organization', 'r', 'financial service', 'data governance', 'reporting', 'dhs experience', 'client liaison', 'emerging technology', 'report automation', 'data security', 'data manipulation', 'geospatial intelligence', 'data fluency', 'data transformation', 'data wrangling', 'nosql', 'r', 'java', 'javascript', 'git', 'aws sagemaker', 'sa', 'r', 'automation', 'data entry', 'data reporting', 'technical data skill', 'relationship building', 'creative solution', 'task prioritization', 'data mapping', 'data dictionary', 'reporting', 'team collaboration', 'sql querying', 'functional specification documentation', 'crossfunctional initiative', 'reporting', 'graphing', 'dashboard', 'm sql server', 'data solution', 'collaboration', 'data extraction', 'data manipulation', 'cryptography', 'encryption', 'pki', 'snowflake', 'collaboration', 'data querying', 'toad', 'performance', 'attribution', 'fixed income', 'risk', 'reporting', 'aiml', 'r', 'scala', 'asset allocation', 'powerbi', 'looker', 'presentation', 'iwork suite', 'apple pay ecosystem', 'contact center', 'alteryx', 'data preparation', 'automated workflow', 'data cleansing', 'macro', 'data comparison', 'data warehousing', 'leadership', 'mentorship', 'complex data analysis', 'health informatics', 'sharepoint', 'power automate', 'typescript', 'react', 'angular', 'powershell', 'bash', 'dax', 'power query', 'risk reporting', 'data governance', 'data mapping', 'data protection', 'data engineering', 'r', 'collaboration', 'geospatial analysis', 'r', 'clinical trial', 'custom reporting', 'data integrity', 'data validation', 'process control', 'presentation skill', 'data transformation', 'dashboard building', 'collaboration', 'data warehousing', 'r', 'digital operation', 'data governance', 'marketing operation', 'erp system', 'm powerbi', 'logistics coordination', 'sa', 'r', 'linux', 'hadoop', 'linear algebra', 'statistical method', 'quantitative skill', 'data manipulation', 'snowflake', 'dbt', 'gitlab', 'domo', 'r', 'sql server', 'elasticsearch', 'kibana', 'grafana', 'visual design', 'r', 'quantitative analysis', 'data manipulation', 'literature review', 'data presentation', 'data cleaning', 'research', 'organization', 'oracle sql', 'data extraction', 'healthcare', 'claim data', 'data validation', 'collaboration', 'documentation', 'snowflake', 'jira', 'financial industry', 'pyspark', 'github', 'aws', 'emr', 'data validation', 'salesforce', 'kibana', 'probability theory', 'financial crime', 'investigative experience', 'oracle', 'plsql', 'microsoft sql server', 'tsql', 'r', 'alteryx', 'reporting tool', 'powerbi', 'budget analysis', 'reporting', 'r', 'github', 'salesforce', 'adaptability', 'data strategy', 'data storytelling', 'collaboration', 'technical aptitude', 'finance', 'accounting', 'reporting', 'data pipeline', 'dashboard', 'analytical background', 'sap b', 'panda', 'sqlalchemy', 'data warehouse methodology', 'cicd tool', 'reporting tool', 'public health data', 'snowflake', 'dashboard development', 'requirement gathering', 'agile methodology', 'user story', 'roadmaps', 'sdlc', 'use case', 'pyspark', 'dashboard development', 'data validation', 'environmental theme', 'reporting', 'dashboard', 'data extraction', 'customer experience data', 'qlik sense', 'data pipeline', 'hr process', 'recruiting process', 'r', 'dashboard', 'looker', 'at system', 'hris system', 'paid acquisition', 'attribution', 'data model', 'query performance', 'exploratory analysis', 'datadriven decision making', 'technical lead experience', 'forecasting', 'operational tool', 'system integration', 'r', 'trend analysis', 'automation', 'logistics', 'presentation', 'data governance', 'jira', 'reporting', 'r', 'sa', 'vba', 'data collection', 'statistical theory', 'data reporting', 'data pipeline', 'talend', 'linked data', 'vba', 'email marketing', 'data integration', 'crm', 'marketing mix model', 'multitouch attribution', 'customer segmentation', 'bi tool', 'data engineering', 'data governance', 'data modelling', 'sql server', 'r', 'environmental data analysis', 'geographic information system', 'healthcare claim', 'r', 'qlikview', 'researching', 'advanced computer skill', 'bank accounting method', 'technical aptitude', 'solutionoriented', 'reliable', 'flexible', 'strong communication', 'selfstarter', 'postgresql', 'sigma computing', 'data governance', 'healthcare data', 'customer service', 'uiux', 'collaboration', 'requirement gathering', 'agile', 'user story', 'system design', 'sdlc', 'leadership', 'use case', 'finance', 'accounting', 'math', 'economics', 'engineering', 'r', 'powerpoint', 'data acquisition', 'data manipulation', 'data cleaning', 'quantitative analysis', 'qualitative analysis', 'predictive modelling', 'presenting', 'collaboration', 'user experience', 'r', 'snowflake', 'process improvement', 'r', 'interpersonal skill', 'big data technology', 'pyspark', 'bigquery', 'environmental', 'data collection', 'largescale data analysis', 'esg', 'enablon', 'esh', 'crossfunctional collaboration', 'reporting', 'sustainability', 'qualitative analysis', 'quantitative analysis', 'financial service', 'fintech', 'r', 'airflow', 'dashboarding', 'businessorientation', 'intercultural communication', 'powerpoint', 'google suite', 'teaching orientation', 'data cleaning', 'team building', 'gtm', 'sale', 'marketing', 'looker', 'r', 'collaboration', 'strategic mindset', 'storytelling', 'powerbi', 'r', 'statistical concept', 'technical writing', 'text analysis', 'query language', 'collaboration', 'digital transformation', 'storytelling', 'r', 'consultative mindset', 'data reporting', 'data governance', 'data standard', 'data security', 'data policy', 'db', 'oracle', 'data engineering', 'admin support', 'reporting', 'data comparison', 'microsoft suite', 'requirement gathering', 'documentation', 'planning', 'data flow', 'bi dashboard', 'requirement gathering', 'market research', 'interpersonal skill', 'customer journey', 'azure data factory', 'azure sql', 'r', 'dbt', 'data administration', 'sharepoint', 'application development', 'data analyst', 'data vault', 'math skill', 'mathematics', 'accounting', 'flowcal', 'enertia', 'fdc', 'microsoft application', 'digital marketing', 'google sheet', 'looker', 'dbt', 'snowflake', 'data pipeline', 'reporting', 'vba', 'web development', 'data engineering', 'nlp', 'team collaboration', 'r', 'geospatial analysis', 'gi', 'requirement gathering', 'agile methodology', 'user story', 'roadmaps', 'sdlc', 'leadership', 'market dynamic', 'pricing strategy', 'reporting', 'dashboarding', 'process improvement', 'crossfunctional collaboration', 'proactive', 'teamoriented', 'statistical background', 'r', 'image processing', 'sap', 'erp', 'customer focus', 'detail orientation', 'planning', 'system integration', 'sharepoint', 'ai tool', 'insight generation', 'storytelling data', 'jira', 'power platform', 'azure data factory', 'sap', 'agile', 'azure devops', 'functional requirement', 'technical design', 'collaboration', 'automation', 'effectiveness', 'bb saas', 'dashboard', 'collaboration', 'dbt', 'aws redshift', 'scrum master', 'logistics coordination', 'report generation', 'data processing', 'automation', 'sdlc', 'agile', 'jira', 'confluence', 'multifunctional team', 'user requirement', 'data warehouse', 'data lake', 'databricks', 'aws', 'azure', 'recommendation', 'analytic skill', 'unstructured data', 'structured data', 'interpersonal skill', 'verbal communication', 'written communication', 'minimal supervision', 'fastpaced environment', 'devops', 'cicd', 'cdl', 'edw', 'gxp', 'lims', 'nc', 'capa', 'audit system', 'trackwise', 'comet', 'curve', 'pqms', 'summit', 'etq instict', 'r', 'powerpoint', 'data acquisition', 'data manipulation', 'data cleaning', 'predictive modelling', 'presentation skill', 'collaboration', 'data processing', 'software engineering', 'data structure', 'statistical technique', 'data ingestion', 'data validation', 'automation', 'powershell', 'api integration', 'client facing', 'mathematics', 'quantitative method', 'test design', 'experimentation', 'r', 'data storytelling', 'ml model', 'data engineering', 'automation', 'reporting tool', 'data lakehouse', 'erp', 'data governance', 'agile', 'agile', 'customer journey mapping', 'audience profiling', 'cohort analysis', 'r', 'detail oriented', 'data mapping', 'data profiling', 'databricks', 'aws', 'financial service', 'pressure', 'quick learner', 'resultfocused', 'macro', 'data collection', 'technology', 'statistical method', 'agile', 'user experience research', 'oracle sql', 'healthcare', 'claim data', 'esh', 'sustainability', 'data collection', 'esg', 'environmental', 'enablon', 'largescale data analysis', 'reporting', 'crossfunctional collaboration', 'data transformation', 'compliance review', 'data validation', 'reporting', 'process improvement', 'microsoft application', 'dax', 'r', 'google looker', 'data warehousing', 'data modelling', 'reporting', 'looker dashboard', 'data engineering', 'data instrumentation', 'data validation', 'data cleansing', 'automation', 'process improvement', 'vba', 'esg', 'powerpoint', 'data engineering', 'marketing data', 'data pipeline', 'data warehouse', 'campaign targeting', 'collaboration', 'lifelong learner', 'marketing automation', 'data onboarding', 'pythonr', 'statistical method', 'agile product development', 'user experience research', 'causal inference', 'aws', 'data extraction', 'data mapping', 'agile methodology', 'rest api', 'schema design', 'data reporting', 'sa macro', 'api development', 'troubleshooting', 'technical documentation', 'test planning', 'navy c system', 'reporting', 'dash boarding', 'data integration', 'data lake', 'gi', 'esri suite', 'data editing', 'spatial analysis', 'sql code development', 'standard', 'metadata creation', 'reporting', 'software development life cycle', 'data warehousing', 'bi system', 'alteryx', 'jql', 'insight', 'dashboard', 'reporting', 'forecasting', 'presentation skill', 'stakeholder engagement', 'genomics', 'linux', 'mri', 'data integrity', 'bioinformatics', 'research design', 'laboratory procedure', 'trend analysis', 'causal analysis', 'data manipulation', 'data cleaning', 'data entry', 'legal document review', 'customer service', 'servicenow', 'hr principle', 'presentation skill', 'large data set', 'oracle bi', 'data insight', 'selfstarter', 'crm platform', 'multitasking', 'organization', 'databricks', 'aws', 'data profiling', 'data validation', 'data cleansing', 'powerbi', 'looker', 'presentation skill', 'iwork suite', 'data migration', 'data cleaning', 'data validation', 'user acceptance testing', 'system integration', 'social medium analytics', 'conflict analysis', 'looker', 'statistical method', 'data architecture', 'collaborative', 'dashboarding', 'dbt', 'user empathy', 'looker', 'oracle plsql', 'system analysis', 'process automation', 'financial data', 'procurement', 'data manipulation', 'google sheet', 'oncology', 'cancer genomics', 'molecular biology', 'clinical trial', 'data manipulation', 'data cleaning', 'automation', 'saas', 'productled growth', 'looker', 'hashboard', 'omni', 'r', 'datadriven recommendation', 'data entry', 'outlook', 'access', 'criticalthinking', 'data governance', 'aviation industry', 'data integration', 'data warehousing', 'r', 'bigquery', 'ecommerce', 'digital marketing', 'strategy development', 'tool evaluation', 'data governance', 'performance monitoring', 'stakeholder engagement', 'continuous learning', 'analytical reasoning', 'r', 'financial service', 'independence', 'storytelling', 'collaboration', 'emr extraction', 'data storytelling', 'databrick', 'r', 'sharepoint', 'microsoft power apps', 'power automate', 'software solution', 'r', 'big data', 'data manipulation', 'data cleaning', 'statistical tool', 'bayesian inference', 'food safety', 'process redesign', 'system implementation', 'return investment', 'client service', 'presentation', 'relationship building', 'independent work', 'team player', 'minitab', 'strategy', 'operation', 'aml', 'fraud', 'risk', 'kyc', 'financial crime', 'collaboration', 'data entry', 'technical attribute', 'collaboration', 'market research', 'survey design', 'financial statement', 'causal inference', 'r', 'data manipulation', 'big data', 'data storytelling', 'report writing', 'cost tracking', 'maximo software', 'accounting method', 'statistical model', 'forecasting', 'powerquery', 'powerpivot', 'powerbi', 'process improvement', 'data structure', 'algorithm', 'statistical method', 'r', 'user interface', 'system development', 'hadoop', 'data lake', 'data warehouse', 'dashboard', 'scrum', 'agile', 'linux', 'aws', 'terraform', 'ansible', 'docker', 'kubernetes', 'agile development', 'network automation', 'sa', 'r', 'larger data processing', 'analytic skill', 'financial model', 'oracle eb', 'oracle bi', 'interpersonal skill', 'customer support', 'market data knowledge', 'data architecture', 'reporting', 'analytical finding', 'tagging plan', 'tag management system', 'javascript', 'cs', 'html', 'dashboard building', 'statistical tool', 'prioritizing', 'multitasking', 'technical writing', 'reporting', 'r', 'data cleaning', 'data preparation', 'data integrity', 'collaboration', 'data entry', 'document review', 'organization', 'customer service', 'interpersonal skill', 'payroll knowledge', 'denmark payroll knowledge', 'computer knowledge', 'metric', 'crm tool', 'interpersonal skill', 'google script', 'google sheet', 'sql developer', 'energy expertise', 'policy expertise', 'leadership', 'adaptability', 'multitasking', 'sa', 'r', 'powerbi', 'qlik', 'spotfire', 'visual basic', 'perl', 'unix', 'automation technique', 'healthcare data', 'ssrs', 'erp system', 'data warehousing', 'pricing strategy', 'market analysis', 'cost structure', 'price setting', 'pricing model', 'crossfunctional collaboration', 'data transformation', 'dax', 'power query', 'custom visualization', 'datadriven decision making', 'leadership', 'data governance', 'data integrity', 'training', 'data manipulation', 'spss', 'powerbi', 'information system', 'report creation', 'medical claim', 'billing code', 'team collaboration', 'r', 'sa', 'data governance', 'data model', 'mysql', 'oracle', 'mongodb', 'big data', 'data pipeline', 'r', 'geospatial analysis', 'gi', 'm sql server', 'test case', 'technical requirement', 'healthcare', 'visual studio', 'reporting', 'budgeting', 'forecasting', 'gaap', 'azure', 'data model', 'reporting package', 'hris', 'data security', 'data storytelling', 'nosql', 'crossfunctional team', 'statistical technique', 'dax', 'power query', 'data transformation', 'leadership', 'valuebased care', 'customer service', 'advertising experience', 'digital marketing', 'html', 'copywriting', 'presentation skill', 'r', 'geospatial analysis', 'gi', 'power automate', 'alteryx', 'tax law', 'statistical modelling', 'data governance', 'social skill', 'organization', 'multitasking', 'statistical technique', 'risk analysis', 'fraud prevention', 'r', 'reporting', 'dashboarding', 'crm', 'campaign analysis', 'data validation', 'big data', 'bi tool', 'erp system', 'collaboration', 'compliance', 'diversity inclusion', 'statistical tool', 'reporting', 'healthcare data', 'airflow', 'dashboarding', 'big data', 'r', 'procurement', 'kpi', 'reporting', 'erp', 'anaplan', 'interpersonal skill', 'presentation', 'facilitation', 'leadership', 'guidewire', 'project planning', 'software configuration', 'ui design', 'sale operation', 'kpi calculation', 'qlik', 'data integration', 'data governance', 'azure devops', 'scrum', 'agile', 'erp system', 'product master data', 'supply chain operation', 'sql server', 'data intelligence', 'salesforcecom', 'eloqua', 'neuroimaging analysis', 'linux', 'shell', 'dc understanding', 'data stack expertise', 'm access', 'analytical ability', 'report writing', 'fraud detection', 'r', 'sdlc', 'itil', 'qa', 'six sigma', 'microsoft sharepoint', 'edi knowledge', 'payroll', 'benefit administration', 'data reporting', 'power usage', 'algorithm', 'collaboration', 'scada', 'technical specification', 'agile', 'scrum', 'software development', 'arcgis', 'gi', 'lidar', 'gps', 'environmental data', 'geologic data', 'geotechnical data', 'crystal report', 'sql server', 'cnet', 'java', 'data pipeline', 'data lake', 'hr data', 'r', 'employment regulation', 'team player', 'data handling', 'data wrangling', 'technical documentation', 'aws', 'aiml', 'data profiling', 'statistical software', 'microsoft azure', 'power platform', 'r', 'powerbi', 'influencing', 'crossfunctional', 'endtoend', 'flexibility', 'financial service', 'sa', 'data validation', 'statistical table', 'technical writing', 'survey', 'clinical background', 'medical coding', 'sql query', 'interpersonal skill', 'technical skill', 'curiosity', 'analytic skill', 'issue resolution', 'facilitation skill', 'sql proficiency', 'interpersonal skill', 'statistical software', 'data governance', 'aws']"
