,cleaned_required_skills,simplified_job_title,count
0,,Business Intelligence,1
1,,Data Analyst,1
2,,Data Scientist,1
3,ab test,Data Scientist,1
4,ab testing,Business Intelligence,1
5,ab testing,Data Analyst,8
6,ab testing,Data Scientist,18
7,access,Data Analyst,1
8,accounting,Data Analyst,3
9,accounting method,Data Analyst,1
10,acquisition funnel,Data Scientist,1
11,ad experimentation,Data Scientist,1
12,ad hoc analysis,Business Intelligence,1
13,ad hoc reporting,Business Intelligence,1
14,ad tech,Data Scientist,1
15,adaptability,Business Intelligence,1
16,adaptability,Data Analyst,2
17,adhoc analysis,Data Scientist,1
18,admin support,Data Analyst,1
19,adobe,Data Analyst,1
20,adobe acrobat,Business Intelligence,1
21,adobe analytics,Data Analyst,4
22,adtech,Data Scientist,1
23,advanced analysis,Data Scientist,1
24,advanced analytics,Data Analyst,2
25,advanced analytics,Data Scientist,7
26,advanced computer skill,Data Analyst,1
27,advanced excel,Data Analyst,3
28,advanced machine learning,Data Scientist,1
29,advanced mathematics,Data Scientist,1
30,advanced modeling,Data Analyst,1
31,advanced python,Data Scientist,1
32,advanced sql,Business Intelligence,1
33,advertising experience,Data Analyst,1
34,agile,Business Intelligence,1
35,agile,Data Analyst,9
36,agile,Data Scientist,6
37,agile development,Data Analyst,1
38,agile development,Data Scientist,2
39,agile methodology,Data Analyst,3
40,agile methodology,Data Scientist,2
41,agile product development,Data Analyst,1
42,agile project management,Business Intelligence,1
43,agile scrum,Business Intelligence,1
44,agile sdlc,Business Intelligence,1
45,ai,Data Scientist,13
46,ai,Intern,4
47,ai implementation,Business Intelligence,1
48,ai library,Data Scientist,1
49,ai strategy,Data Scientist,1
50,ai technique,Data Scientist,1
51,ai tool,Data Analyst,1
52,aiml,Data Analyst,2
53,aiml,Data Scientist,3
54,aiml knowledge,Data Analyst,1
55,aiml modeling,Data Scientist,2
56,aiml technique,Data Scientist,1
57,airflow,Data Analyst,4
58,airflow,Data Scientist,1
59,algorithm,Data Analyst,2
60,algorithm,Data Scientist,7
61,algorithm design,Data Scientist,1
62,algorithm development,Data Scientist,3
63,algorithm implementation,Data Scientist,1
64,alteryx,Business Intelligence,1
65,alteryx,Data Analyst,4
66,alteryx,Data Scientist,1
67,amazon quicksight,Business Intelligence,1
68,amazon stack,Data Analyst,1
69,aml,Data Analyst,1
70,aml,Data Scientist,1
71,amplitude,Data Scientist,1
72,analysis,Data Scientist,2
73,analytic,Data Scientist,1
74,analytic chart,Data Scientist,1
75,analytic skill,Data Analyst,3
76,analytic skill,Intern,1
77,analytical,Business Intelligence,1
78,analytical,Data Analyst,4
79,analytical,Data Scientist,3
80,analytical,Intern,1
81,analytical ability,Data Analyst,1
82,analytical background,Data Analyst,1
83,analytical finding,Data Analyst,1
84,analytical model,Data Scientist,1
85,analytical procedure,Data Scientist,1
86,analytical reasoning,Data Analyst,1
87,analytical skill,Business Intelligence,10
88,analytical skill,Data Analyst,43
89,analytical skill,Data Scientist,11
90,analytical skill,Intern,2
91,analytical solution,Data Analyst,1
92,analytical strategy,Data Analyst,1
93,analytical technique,Data Scientist,2
94,analytical thinking,Data Analyst,5
95,analytical thinking,Data Scientist,2
96,analytical tool,Data Analyst,1
97,analytics,Business Intelligence,5
98,analytics,Data Analyst,15
99,analytics,Data Scientist,33
100,analytics,Intern,1
101,analytics consultant,Data Scientist,1
102,analytics framework,Data Scientist,1
103,analytics tool,Data Analyst,1
104,anaplan,Data Analyst,1
105,angular,Data Analyst,1
106,anomaly detection,Data Scientist,5
107,ansible,Data Analyst,1
108,apache airflow,Data Analyst,1
109,apache hadoop,Data Scientist,1
110,apache kafka,Data Scientist,1
111,apache pig,Data Scientist,1
112,apache spark,Data Scientist,2
113,apache superset,Business Intelligence,1
114,api development,Data Analyst,1
115,api development,Data Scientist,1
116,api integration,Data Analyst,1
117,api programming,Data Analyst,1
118,apibased data extraction,Business Intelligence,1
119,apis,Data Scientist,1
120,apple pay ecosystem,Data Analyst,1
121,application development,Data Analyst,1
122,application development,Data Scientist,1
123,applied statistic,Data Scientist,1
124,applied statistic,Intern,1
125,arcgis,Data Analyst,1
126,arcgis,Data Scientist,1
127,arima,Data Scientist,1
128,artificial intelligence,Data Scientist,10
129,asset allocation,Data Analyst,1
130,asset management,Data Analyst,2
131,at system,Data Analyst,1
132,atlassian jira,Business Intelligence,1
133,atmospheric science,Data Scientist,1
134,attention detail,Business Intelligence,2
135,attention detail,Data Analyst,15
136,attention detail,Data Scientist,2
137,attention detail,Intern,2
138,attribution,Data Analyst,2
139,auction theory,Data Scientist,1
140,audience profiling,Data Analyst,1
141,audit system,Data Analyst,1
142,automated workflow,Data Analyst,1
143,automating process,Business Intelligence,1
144,automation,Business Intelligence,1
145,automation,Data Analyst,8
146,automation technique,Data Analyst,1
147,automation technique,Data Scientist,1
148,aviation industry,Data Analyst,1
149,aws,Business Intelligence,1
150,aws,Data Analyst,9
151,aws,Data Scientist,15
152,aws,Intern,1
153,aws redshift,Data Analyst,1
154,aws sagemaker,Data Analyst,1
155,aws sagemaker,Data Scientist,5
156,aws technology,Data Scientist,1
157,azure,Data Analyst,3
158,azure,Data Scientist,6
159,azure cloud,Data Scientist,2
160,azure data analytics,Data Analyst,1
161,azure data factory,Business Intelligence,1
162,azure data factory,Data Analyst,2
163,azure data factory,Data Scientist,1
164,azure databricks,Data Scientist,1
165,azure datafactory,Data Scientist,1
166,azure devops,Data Analyst,2
167,azure ml,Data Scientist,1
168,azure service,Data Scientist,1
169,azure sql,Data Analyst,1
170,azuredevops,Business Intelligence,1
171,backend development,Data Scientist,1
172,bank accounting method,Data Analyst,1
173,banking analytics,Data Scientist,1
174,bash,Data Analyst,1
175,bash,Data Scientist,1
176,bayesian,Data Scientist,2
177,bayesian inference,Data Analyst,1
178,bayesian method,Data Scientist,1
179,bayesian statistic,Data Scientist,2
180,bb marketing analytics,Data Analyst,1
181,bb saas,Data Analyst,1
182,bc analysis,Data Scientist,1
183,bdd,Data Scientist,1
184,benefit administration,Data Analyst,1
185,bert,Data Scientist,2
186,best practice,Data Scientist,1
187,bi,Data Analyst,1
188,bi dashboard,Data Analyst,1
189,bi reporting,Data Analyst,1
190,bi software,Data Scientist,2
191,bi system,Data Analyst,1
192,bi tool,Business Intelligence,3
193,bi tool,Data Analyst,2
194,bi tool,Data Scientist,3
195,big data,Data Analyst,6
196,big data,Data Scientist,30
197,big data analytics,Data Analyst,1
198,big data technology,Data Analyst,1
199,big data technology,Data Scientist,4
200,bigquery,Data Analyst,2
201,bigquery,Data Scientist,2
202,billing,Business Intelligence,1
203,billing code,Data Analyst,1
204,billing system,Data Scientist,1
205,biochemical process,Data Scientist,1
206,bioinformatics,Data Analyst,1
