,location,count
239,United States,92
158,"New York, NY",61
203,"San Francisco, CA",20
13,"Atlanta, GA",19
243,"Washington, DC",18
44,"Chicago, IL",15
152,"Mountain View, CA",14
211,"Seattle, WA",14
103,"Houston, TX",12
159,"New York, United States",11
204,"San Jose, CA",10
14,"Austin, TX",10
228,"Sunnyvale, CA",10
201,San Francisco Bay Area,10
200,"San Diego, CA",10
10,"Arlington, VA",10
135,"Manhattan, NY",9
42,"Charlotte, NC",9
26,"Boston, MA",8
33,"California, United States",8
176,"Plano, TX",8
141,"McLean, VA",7
55,"Dallas, TX",7
130,"Los Angeles, CA",6
206,"Santa Clara, CA",6
64,"Denver, CO",6
46,"Cincinnati, OH",6
157,New York City Metropolitan Area,6
188,"Richmond, VA",6
205,"San Mateo, CA",5
16,"Baltimore, MD",5
222,"St Louis, MO",5
79,"Fort Meade, MD",4
142,"Memphis, TN",4
154,"Nashville, TN",4
29,"Brooklyn, NY",4
242,"Warren, MI",4
184,"Queens, NY",3
56,Dallas-Fort Worth Metroplex,3
220,"Springfield, VA",3
60,"Dearborn, MI",3
216,"South San Francisco, CA",3
111,"Irvine, CA",3
67,"District of Columbia, United States",3
182,"Purchase, NY",3
234,"Texas, United States",3
175,"Pittsburgh, PA",3
186,"Redwood City, CA",3
20,"Bentonville, AR",3
202,"San Francisco County, CA",3
19,"Bellevue, WA",3
17,"Beaverton, OR",3
83,"Foster City, CA",3
94,Greater Seattle Area,3
241,"Virginia, United States",3
115,"Jersey City, NJ",3
191,"Rochester, NY",3
230,"Tampa, FL",3
129,Los Angeles Metropolitan Area,3
143,"Menlo Park, CA",3
147,"Minneapolis, MN",3
4,"Alexandria, VA",3
40,"Chantilly, VA",3
12,Atlanta Metropolitan Area,2
146,"Michigan, United States",2
151,"Mount Laurel, NJ",2
185,"Redmond, WA",2
100,"Hoboken, NJ",2
99,"Hillside, NJ",2
15,"Austin, Texas Metropolitan Area",2
97,"Hartford, CT",2
247,"Wichita, KS",2
6,"Annapolis Junction, MD",2
126,"Long Beach, CA",2
11,"Ashburn, VA",2
106,"Huntsville, AL",2
107,"Illinois, United States",2
183,"Quantico, VA",2
109,"Indianapolis, IN",2
139,"Massachusetts, United States",2
165,"Oakland, CA",2
8,"Arizona, United States",2
112,"Irving, TX",2
114,"Jacksonville, FL",2
168,"Orlando, FL",2
91,Greater Minneapolis-St. Paul Area,2
178,"Pleasanton, CA",2
132,"Manassas, VA",2
119,Killeen-Temple Area,2
163,"North Reading, MA",2
0,"Albany, NY",2
24,"Boca Raton, FL",2
51,"Columbus, OH",2
53,"Cupertino, CA",2
208,"Schaumburg, IL",2
49,"Colorado Springs, CO",2
22,"Birmingham, AL",2
236,"Torrance, CA",2
224,"Stamford, CT",2
197,"Salt Lake City, UT",2
28,"Brewster, NY",2
226,"Sterling, VA",1
169,"Orono, ME",1
167,"Oklahoma City, OK",1
244,"West Hollywood, CA",1
223,"St Paul, MN",1
166,"Ohio, United States",1
225,"Stanford, CA",1
170,"Palo Alto, CA",1
164,"Oakbrook Terrace, IL",1
193,"Roseland, NJ",1
238,"Tulsa, OK",1
245,"Westwood, MA",1
227,"Suffolk, VA",1
237,"Trenton, NJ",1
162,"Newton, MA",1
161,"Newport, KY",1
235,"Thousand Oaks, CA",1
160,"Newport News, VA",1
246,"White Plains, NY",1
229,"Superior, WI",1
231,"Tempe, AZ",1
232,"Temple Terrace, FL",1
248,"Wilsonville, OR",1
171,"Peachtree City, GA",1
174,"Phoenix, AZ",1
172,"Pennsylvania, United States",1
212,"Shaker Heights, OH",1
194,"Rosemont, IL",1
195,"Roswell, GA",1
233,"Terrell, TX",1
